fold,feature,importance_mean,importance_sd
5,summer_blue,0.003132691311005825,0.001989983126753193
5,summer_green,0.00276656566957148,0.0003167603476075739
5,summer_red,0.004025454262097966,0.0019706957352714073
5,summer_nir,0.01327464081601798,0.0029251776730036616
5,summer_swir16,0.022852047229834416,0.0012495486130237859
5,summer_swir22,0.07650117964565017,0.0028619410983261825
5,summer_ndvi,0.0038915344620617798,0.0016623553127462808
5,summer_ndbi,-0.0001384254943136709,0.0013450287626318729
5,summer_ndwi,0.006497857937414309,0.0015292066522267997
5,autumn_blue,0.0041083252907741785,0.0010354865969083985
5,autumn_green,0.004666810636367202,0.0027828432093653407
5,autumn_red,0.0015847927881729174,0.0007414333370378219
5,autumn_nir,0.0040482677626540176,0.0018230568483007584
5,autumn_swir16,0.05472986232053667,0.0038850376776084594
5,autumn_swir22,0.018731455573031908,0.000924828153564931
5,autumn_ndvi,0.0413567907349158,0.0013985989737369312
5,autumn_ndbi,0.0026092806709656358,0.0032518243644638414
5,autumn_ndwi,0.005953959880695497,0.0010454001449958382
