validation,model,feature_set,fold,class_code,class_name,precision,recall,f1,support
spatial_5fold,HistGradientBoosting,bands_only,1,30,Grassland,0.8278688524590164,0.8353383458646616,0.8315868263473054,1330
spatial_5fold,HistGradientBoosting,bands_only,1,40,Cropland,0.9126478616924477,0.8767482517482518,0.8943379402585823,1144
spatial_5fold,HistGradientBoosting,bands_only,1,50,Built-up,0.847769028871391,0.9039179104477612,0.8749435665914221,1072
spatial_5fold,HistGradientBoosting,bands_only,1,80,Permanent water,0.9836909871244636,0.9630252100840336,0.9732484076433121,1190
spatial_5fold,HistGradientBoosting,bands_only,2,10,Tree cover,0.8327102803738318,0.8227146814404432,0.8276823037621923,1083
spatial_5fold,HistGradientBoosting,bands_only,2,30,Grassland,0.8378378378378378,0.8210045662100457,0.8293357933579336,1095
spatial_5fold,HistGradientBoosting,bands_only,2,40,Cropland,0.9463452566096423,0.9164156626506024,0.9311400153022188,1328
spatial_5fold,HistGradientBoosting,bands_only,2,50,Built-up,0.8679389312977099,0.9184168012924071,0.8924646781789639,1238
spatial_5fold,HistGradientBoosting,bands_only,2,80,Permanent water,0.9707964601769912,0.9751111111111112,0.9729490022172949,1125
spatial_5fold,HistGradientBoosting,bands_only,3,10,Tree cover,0.8604444444444445,0.8189509306260575,0.8391850888599913,1182
spatial_5fold,HistGradientBoosting,bands_only,3,30,Grassland,0.7756255044390638,0.8349261511728931,0.80418410041841,1151
spatial_5fold,HistGradientBoosting,bands_only,3,40,Cropland,0.9152073732718894,0.8479931682322801,0.8803191489361702,1171
spatial_5fold,HistGradientBoosting,bands_only,3,50,Built-up,0.8817354793561931,0.9203798392987582,0.9006433166547534,1369
spatial_5fold,HistGradientBoosting,bands_only,3,80,Permanent water,0.9772344013490725,0.9731318219983207,0.9751787968026925,1191
spatial_5fold,HistGradientBoosting,bands_only,4,10,Tree cover,0.8376560999039385,0.7970749542961609,0.8168618266978923,1094
spatial_5fold,HistGradientBoosting,bands_only,4,30,Grassland,0.799264705882353,0.81790820165538,0.8084789884715508,1329
spatial_5fold,HistGradientBoosting,bands_only,4,40,Cropland,0.9134883720930232,0.8554006968641115,0.8834907782276203,1148
spatial_5fold,HistGradientBoosting,bands_only,4,50,Built-up,0.8269896193771626,0.9078822412155746,0.8655500226346763,1053
spatial_5fold,HistGradientBoosting,bands_only,4,80,Permanent water,0.9840764331210191,0.9778481012658228,0.9809523809523809,1264
spatial_5fold,HistGradientBoosting,bands_only,5,10,Tree cover,0.8876781223805532,0.8424821002386634,0.8644897959183674,1257
spatial_5fold,HistGradientBoosting,bands_only,5,30,Grassland,0.7762237762237763,0.810958904109589,0.7932112550245646,1095
spatial_5fold,HistGradientBoosting,bands_only,5,40,Cropland,0.9092511013215859,0.8535980148883374,0.8805460750853242,1209
spatial_5fold,HistGradientBoosting,bands_only,5,50,Built-up,0.8861423220973783,0.9329652996845426,0.9089512101421436,1268
spatial_5fold,HistGradientBoosting,bands_only,5,80,Permanent water,0.9712460063897763,0.9886178861788618,0.9798549556809025,1230
spatial_5fold,Random Forest,bands_plus_indices,1,10,Tree cover,0.8820928518791452,0.8648843930635838,0.8734038672017512,1384
spatial_5fold,Random Forest,bands_plus_indices,1,30,Grassland,0.8173076923076923,0.8308270676691729,0.8240119313944817,1330
spatial_5fold,Random Forest,bands_plus_indices,1,40,Cropland,0.9088447653429603,0.8802447552447552,0.894316163410302,1144
spatial_5fold,Random Forest,bands_plus_indices,1,50,Built-up,0.8500443655723159,0.8936567164179104,0.8713051386994088,1072
spatial_5fold,Random Forest,bands_plus_indices,1,80,Permanent water,0.9829931972789115,0.9714285714285714,0.9771766694843618,1190
spatial_5fold,Random Forest,bands_plus_indices,2,10,Tree cover,0.828996282527881,0.8236380424746076,0.826308476146364,1083
spatial_5fold,Random Forest,bands_plus_indices,2,30,Grassland,0.8110091743119267,0.8073059360730593,0.8091533180778032,1095
spatial_5fold,Random Forest,bands_plus_indices,2,40,Cropland,0.950597609561753,0.8983433734939759,0.9237320944638018,1328
spatial_5fold,Random Forest,bands_plus_indices,2,50,Built-up,0.8632218844984803,0.9176090468497576,0.889584964761159,1238
